column,dtype,missing_values,missing_share,unique_values
LOCATION_LATITUDE,float64,1,5.961962678113635e-05,6880
LOCATION_LONGITUDE,float64,1,5.961962678113635e-05,6852
incident_time_minutes,int32,0,0.0,1321
INCIDENT_REASON_DESCRIPTION,object,0,0.0,540
incident_reason_simple,object,0,0.0,37
lon_bin,float64,1,5.961962678113635e-05,15
disposition_simple,object,10017,0.5972098014666428,15
lat_bin,float64,1,5.961962678113635e-05,11
LOCATION_DISTRICT,object,0,0.0,10
incident_dayofweek,int32,0,0.0,7
time_period,object,0,0.0,4
incident_month,int32,0,0.0,3
is_weekend,int64,0,0.0,2
incident_year,int32,0,0.0,1
